prioridade_ml_hibrida;score_hibrido;probabilidade_ml;score;valor_ponderado_hibrido;prioridade;valor_ponderado;valor_potencial;id_oportunidade;etapa;vendedor;gerente;regional;conta;setor;produto;idade_dias;justificativa;riscos_principais;proxima_acao
A - Focar hoje;74,1;0,780368957213545;70,8;4062,16;A - Focar hoje;3881,26;5482;OP-03958;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Cerrado Participações Ltda.;saúde;Solução Atlas Plus Profissional;22,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;71,6;0,8496850262868908;60,7;39,38;B - Trabalhar nesta semana;33,38;55;OP-05247;Em negociação;Priscila Ramos;Amanda Azevedo;Leste;Metrópole Digital Ltda.;serviços;Módulo Horizonte Especial;137,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,6;0,8185269873258862;61,4;773,78;B - Trabalhar nesta semana;672,94;1096;OP-07177;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Krypton Saúde Ltda.;telecomunicações;Solução Atlas Plus Essencial;137,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,4;0,7553739157975476;66,2;771,58;B - Trabalhar nesta semana;725,55;1096;OP-08284;Em negociação;Amanda Azevedo;Caio Galvão;Oeste;Oceânica Digital Ltda.;entretenimento;Solução Atlas Plus Essencial;59,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%)";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;70,3;0,7633805227233109;65,4;3853,85;B - Trabalhar nesta semana;3585,23;5482;OP-02552;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Jardim Serviços Ltda.;marketing;Solução Atlas Plus Profissional;122,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (72% vs média 63%); valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,3;0,7666816410493346;65,0;3853,85;B - Trabalhar nesta semana;3563,3;5482;OP-01835;Em negociação;Patrícia Campos;Caio Galvão;Oeste;Waypoint Software Ltda.;marketing;Solução Atlas Plus Profissional;118,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%); valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,3;0,7783813843185289;64,1;3853,85;B - Trabalhar nesta semana;3513,96;5482;OP-00047;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Xingu Comercial Ltda.;saúde;Solução Atlas Plus Profissional;128,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,3;0,7206669825935568;68,8;386,65;A - Focar hoje;378,4;550;OP-04741;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Jardim Serviços Ltda.;marketing;Solução Atlas Essencial;40,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (72% vs média 63%)";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;70,2;0,7840234096782693;63,4;386,1;B - Trabalhar nesta semana;348,7;550;OP-06353;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Prisma Soluções Ltda.;tecnologia;Solução Atlas Essencial;136,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%); conta com histórico favorável no CRM (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;70,1;0,720154020386647;68,6;3842,88;A - Focar hoje;3760,65;5482;OP-04863;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Jade Tecnologia Ltda.;tecnologia;Solução Atlas Plus Profissional;70,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (73% vs média 63%); valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
