id_oportunidade;vendedor;produto;conta;etapa_negocio;data_engajamento;data_fechamento;valor_fechamento
OP-00346;Fernanda Valente;Solução Atlas Plus Essencial;Horizonte Saúde Ltda.;Ganha;2016-10-20;2017-03-01;1054
OP-08557;Isabela Farias;Solução Atlas Profissional;Quartzo Participações Ltda.;Ganha;2016-10-25;2017-03-11;4514
OP-03541;Isabela Farias;Módulo Horizonte Especial;Horizonte Saúde Ltda.;Ganha;2016-10-25;2017-03-07;50
OP-05675;Fernanda Valente;Solução Atlas Essencial;Pioneira Consultoria Ltda.;Ganha;2016-10-25;2017-03-09;588
OP-06275;Tatiana Castro;Solução Atlas Essencial;Metrópole Digital Ltda.;Ganha;2016-10-25;2017-03-02;517
OP-08709;Ana Almeida;Módulo Horizonte Especial;Litoral Indústria Ltda.;Ganha;2016-10-29;2017-03-01;49
OP-02430;Nicolas Oliveira;Módulo Horizonte Especial;Serrana Tecnologia Ltda.;Ganha;2016-10-30;2017-03-02;57
OP-01838;Amanda Azevedo;Solução Atlas Essencial;Aliança Indústria Ltda.;Ganha;2016-11-01;2017-03-07;601
OP-06082;Helena Menezes;Solução Atlas Plus Essencial;Quantum Sistemas Ltda.;Ganha;2016-11-01;2017-03-03;1026
OP-04302;Rafael Ferreira;Módulo Horizonte Avançado;;Em negociação;2016-11-03;;
OP-05845;Ana Almeida;Módulo Horizonte Especial;Vértice Sistemas Ltda.;Ganha;2016-11-04;2017-03-10;53
OP-05201;Otávio Pinto;Solução Atlas Profissional;Futura Consultoria Ltda.;Perdida;2016-11-04;2017-03-18;0
OP-06993;Rafael Ferreira;Solução Atlas Plus Profissional;Zafira Comunicação Ltda.;Ganha;2016-11-04;2017-03-10;5169
OP-03614;Débora Medeiros;Solução Atlas Plus Profissional;Raízes Varejo Ltda.;Ganha;2016-11-04;2017-03-06;4631
OP-00084;Patrícia Campos;Módulo Horizonte Avançado;Bravura Financeira Ltda.;Ganha;2016-11-05;2017-03-11;3393
OP-00828;Juliana Esteves;Módulo Horizonte Especial;Raízes Varejo Ltda.;Perdida;2016-11-05;2017-03-03;0
OP-05498;Juliana Esteves;Módulo Horizonte Avançado;Neblina Software Ltda.;Ganha;2016-11-05;2017-03-06;3284
OP-01633;Mariana Lima;Módulo Horizonte Especial;Essência Tecnologia Ltda.;Ganha;2016-11-06;2017-03-05;61
OP-02252;Henrique Borges;Solução Atlas Profissional;Júpiter Comercial Ltda.;Perdida;2016-11-07;2017-03-09;0
OP-01351;Larissa Santos;Módulo Horizonte Especial;Krypton Saúde Ltda.;Ganha;2016-11-07;2017-03-08;46
OP-04864;Rafael Ferreira;Solução Atlas Plus Profissional;Delta Sistemas Ltda.;Perdida;2016-11-07;2017-03-17;0
OP-07988;Fernanda Valente;Módulo Horizonte Especial;Litoral Indústria Ltda.;Ganha;2016-11-07;2017-03-18;50
OP-02992;Priscila Ramos;Solução Atlas Plus Essencial;Gênesis Indústria Ltda.;Ganha;2016-11-07;2017-03-11;1014
OP-02600;Isabela Farias;Solução Atlas Essencial;Habitat Consultoria Ltda.;Ganha;2016-11-08;2017-03-26;561
OP-07020;Tiago Martins;Solução Atlas Essencial;Oceânica Digital Ltda.;Ganha;2016-11-10;2017-03-23;590
OP-07578;Débora Medeiros;Módulo Horizonte Avançado;Domínio Saúde Ltda.;Em negociação;2016-11-10;;
OP-04929;Mariana Lima;Módulo Horizonte Especial;Vértice Sistemas Ltda.;Ganha;2016-11-10;2017-03-12;61
OP-02669;Priscila Ramos;Solução Atlas Plus Profissional;Júpiter Comercial Ltda.;Perdida;2016-11-10;2017-03-11;0
OP-01368;Larissa Santos;Módulo Horizonte Especial;Aliança Indústria Ltda.;Ganha;2016-11-11;2017-03-05;58
OP-05141;Débora Medeiros;Solução Atlas Profissional;Xingu Comercial Ltda.;Ganha;2016-11-11;2017-03-14;4899
OP-03530;Leonardo Henriques;Módulo Horizonte Avançado;Porto Telecom Ltda.;Perdida;2016-11-11;2017-03-01;0
OP-00680;Mariana Lima;Módulo Horizonte Especial;Rubi Comunicação Ltda.;Ganha;2016-11-11;2017-03-03;67
OP-04976;Rafael Ferreira;Solução Atlas Profissional;Inova Software Ltda.;Ganha;2016-11-12;2017-03-06;4338
OP-05186;Vanessa Pereira;Solução Atlas Essencial;Delta Sistemas Ltda.;Ganha;2016-11-12;2017-03-19;578
OP-05732;Igor Barros;Solução Atlas Essencial;Aurora Soluções Ltda.;Ganha;2016-11-12;2017-03-01;556
OP-03501;Juliana Esteves;Solução Atlas Essencial;Kairós Varejo Ltda.;Ganha;2016-11-12;2017-03-03;635
OP-02701;Renato Vieira;Módulo Horizonte Avançado;Cerrado Participações Ltda.;Ganha;2016-11-12;2017-03-07;3045
OP-06765;Natália Correia;Solução Atlas Plus Essencial;Boreal Varejo Ltda.;Ganha;2016-11-13;2017-03-14;1233
OP-03645;Mariana Lima;Módulo Horizonte Especial;Quantum Sistemas Ltda.;Ganha;2016-11-13;2017-03-09;60
OP-02206;Ana Almeida;Módulo Horizonte Especial;Helix Comercial Ltda.;Perdida;2016-11-14;2017-03-30;0
OP-07273;Isabela Farias;Solução Atlas Essencial;Sinapse Soluções Ltda.;Perdida;2016-11-14;2017-03-08;0
OP-03203;Isabela Farias;Solução Atlas Plus Essencial;Waypoint Software Ltda.;Ganha;2016-11-14;2017-03-20;1170
OP-03568;Tiago Martins;Solução Atlas Essencial;;Em negociação;2016-11-14;;
OP-00729;Caio Dias;Solução Atlas Plus Essencial;Futura Consultoria Ltda.;Ganha;2016-11-15;2017-03-20;1162
OP-06083;Eduarda Nogueira;Solução Atlas Profissional;;Em negociação;2016-11-16;;
OP-02311;Isabela Farias;Módulo Horizonte Avançado;Íntegra Comercial Ltda.;Ganha;2016-11-16;2017-03-14;3725
OP-04966;Vanessa Pereira;Solução Atlas Essencial;Ipanema Logística Ltda.;Ganha;2016-11-16;2017-03-31;559
OP-01646;Juliana Esteves;Solução Atlas Essencial;Granito Comunicação Ltda.;Perdida;2016-11-16;2017-03-11;0
OP-00105;Isabela Farias;Solução Atlas Plus Essencial;Mirante Consultoria Ltda.;Perdida;2016-11-17;2017-03-21;0
OP-08230;Rafael Ferreira;Solução Atlas Plus Profissional;Raízes Varejo Ltda.;Ganha;2016-11-17;2017-03-05;4667
OP-04696;Caio Dias;Solução Atlas Plus Essencial;Atena Participações Ltda.;Ganha;2016-11-17;2017-03-17;903
OP-08324;Débora Medeiros;Solução Atlas Plus Essencial;Bravura Financeira Ltda.;Ganha;2016-11-17;2017-03-13;1180
OP-08274;Helena Menezes;Solução Atlas Essencial;Litoral Indústria Ltda.;Ganha;2016-11-17;2017-03-05;487
OP-00695;William Silveira;Módulo Horizonte Avançado;Sinapse Soluções Ltda.;Ganha;2016-11-18;2017-03-04;3180
OP-06094;Isabela Farias;Solução Atlas Profissional;Cristal Tecnologia Ltda.;Perdida;2016-11-19;2017-03-17;0
OP-04357;Isabela Farias;Módulo Horizonte Avançado;Helix Comercial Ltda.;Ganha;2016-11-19;2017-03-18;3563
OP-03742;Tiago Martins;Solução Atlas Plus Essencial;;Em negociação;2016-11-19;;
OP-05383;Bruno Duarte;Solução Atlas Profissional;Fênix Sistemas Ltda.;Ganha;2016-11-20;2017-03-23;4704
OP-08052;João Moreira;Solução Atlas Plus Profissional;Paralela Logística Ltda.;Ganha;2016-11-20;2017-03-14;5585
OP-08304;Larissa Santos;Plataforma Delta 500;Oceânica Digital Ltda.;Ganha;2016-11-20;2017-03-09;25897
OP-08800;Patrícia Campos;Módulo Horizonte Avançado;;Em negociação;2016-11-20;;
OP-00933;Tiago Martins;Solução Atlas Plus Essencial;Jardim Serviços Ltda.;Ganha;2016-11-20;2017-03-03;1207
OP-01950;William Silveira;Módulo Horizonte Avançado;Horizonte Saúde Ltda.;Perdida;2016-11-20;2017-03-08;0
OP-05697;William Silveira;Solução Atlas Essencial;Jade Tecnologia Ltda.;Ganha;2016-11-20;2017-03-04;559
OP-00107;Débora Medeiros;Solução Atlas Essencial;Kairós Varejo Ltda.;Em negociação;2016-11-20;;
OP-00766;Helena Menezes;Solução Atlas Plus Essencial;Rubi Comunicação Ltda.;Ganha;2016-11-20;2017-03-09;1033
OP-00528;João Moreira;Solução Atlas Essencial;Tropical Saúde Ltda.;Ganha;2016-11-21;2017-03-21;462
OP-02940;Patrícia Campos;Módulo Horizonte Avançado;Catarina Soluções Ltda.;Perdida;2016-11-21;2017-03-01;0
OP-04105;Vanessa Pereira;Solução Atlas Profissional;Koral Logística Ltda.;Ganha;2016-11-21;2017-03-14;5539
OP-05568;William Silveira;Módulo Horizonte Avançado;Litoral Indústria Ltda.;Ganha;2016-11-21;2017-03-15;3573
OP-03405;Caio Dias;Solução Atlas Profissional;Íntegra Comercial Ltda.;Ganha;2016-11-21;2017-03-01;4926
